"RIGHT NUMBER","SUB_BASIN","YEAR","ALLOTMENT","FLEXIBILITY ACCT. BALANCE","FLEX. VARIANCE","CREDITS_AVAIL_FOR_SALE","AMA","IRRIGATION DISTRICT","BMP ENROLLEE","CONVEYANCE_DATE","ID"
"58-108652.0003","EAST SALT RIVER VALLEY","2019","222.39 AF","2286.53 AF","1028.16%","122.55 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5797864"
"58-101314.0002","EAST SALT RIVER VALLEY","2022","84.69 AF","2627.48 AF","3102.47%","NONE","PHOENIX AMA","","N","","5935566"
"58-101110.0013","ELOY","2021","556.78 AF","5010.59 AF","899.92%","321.26 AF","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","N","","5893671"
"58-113148.0003","EAST SALT RIVER VALLEY","2020","116.72 AF","862.41 AF","738.87%","13.17 AF","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","5945437"
"58-113148.0003","EAST SALT RIVER VALLEY","2025","116.72 AF","1107.24 AF","948.63%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","5945437"
"58-103179.0001","ELOY","2024","0 AF","-357.12 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","6078238"
"58-101039.0003","ELOY","2022","0 AF","-41.25 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","6097714"
"58-109769.0003","WEST SALT RIVER VALLEY","2024","311.11 AF","7105.56 AF","2283.94%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","6098620"
"58-105351.0004","RAINBOW VALLEY","2024","499.68 AF","15614.55 AF","3124.91%","NONE","PHOENIX AMA","","N","","6375397"
"58-101101.0005","WEST SALT RIVER VALLEY","2025","94.35 AF","-477.73 AF","-506.34%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","6367800"
"58-103871.0001","AVRA VALLEY","2024","318.39 AF","10514.31 AF","3302.34%","NONE","TUCSON AMA","","N","","7321565"
"58-102519.0003","AVRA VALLEY","2025","1713.8 AF","29830.6 AF","1740.61%","NONE","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","7458349"
"58-113170.0009","ELOY","2023","756.41 AF","9538.4 AF","1261.01%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","7490735"
"58-106870.0007","ELOY","2024","310.88 AF","2444.09 AF","786.18%","NONE","PINAL AMA","SAN CARLOS","N","","7782370"
"58-101466.0013","ELOY","2025","24.08 AF","243.13 AF","1009.68%","NONE","PINAL AMA","","N","","7897899"
"58-108713.0002","WEST SALT RIVER VALLEY","2017","9.77 AF","55.63 AF","569.4%","9.77 AF","PHOENIX AMA","ST JOHNS IRRIGATION DISTRICT","N","","5036937"
"58-102331.0008","ELOY","2011","3442.12 AF","13165.66 AF","382.49%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","N","","5032400"
"58-114669.0011","AVRA VALLEY","2012","46.55 AF","1073.91 AF","2307%","46.55 AF","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5119524"
"58-100904.0003","ELOY","2016","493.64 AF","8356.66 AF","1692.87%","493.64 AF","PINAL AMA","","N","","5138710"
"58-113467.0004","WEST SALT RIVER VALLEY","2007","16.99 AF","153.89 AF","905.77%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5151021"
"58-101171.0006","EAST SALT RIVER VALLEY","2009","14.77 AF","230.79 AF","1562.56%","14.43 AF","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","5142083"
"58-103235.0004","ELOY","2017","12.84 AF","209.95 AF","1635.12%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5364009"
"58-107830.0015","MARICOPA-STANFIELD","2015","13.08 AF","299.08 AF","2286.54%","13.08 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5360875"
"58-112026.0021","WEST SALT RIVER VALLEY","2017","11.25 AF","193.89 AF","1723.47%","9.24 AF","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","5324992"
"58-107296.0001","MARICOPA-STANFIELD","2017","369.42 AF","-184.71 AF","-50%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5499482"
"58-102306.0037","EAST SALT RIVER VALLEY","2013","149.7 AF","608.99 AF","406.81%","NONE","PHOENIX AMA","QUEEN CREEK IRRIGATION DIST","N","","5514424"
"58-102306.0038","EAST SALT RIVER VALLEY","2010","45.22 AF","314.12 AF","694.65%","NONE","PHOENIX AMA","QUEEN CREEK IRRIGATION DIST","N","","5514448"
"58-114184.0002","WEST SALT RIVER VALLEY","2013","164.84 AF","635.07 AF","385.26%","17.77 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5522373"
"58-150103.0015","ELOY","2015","124.6 AF","2449.81 AF","1966.14%","124.6 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5463698"
"58-102399.0011","MARICOPA-STANFIELD","2015","695.47 AF","13639.76 AF","1961.23%","90.05 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5658223"
"58-112967.0003","SANTA CRUZ AMA","2012","186.33 AF","1587.63 AF","852.05%","72.33 AF","SANTA CRUZ AMA","","N","","5667190"
"58-103655.0035","MARICOPA-STANFIELD","2015","55.04 AF","1646.53 AF","2991.52%","55.04 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5796362"
"58-113773.0005","HASSAYAMPA","2017","0 AF","-46.89 AF","0%","NONE","PHOENIX AMA","TONOPAH IRRIGATION DISTRICT","Y","","5782740"
"58-101839.0008","ELOY","2015","0 AF","967.87 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5921680"
