"RIGHT NUMBER","SUB_BASIN","YEAR","ALLOTMENT","FLEXIBILITY ACCT. BALANCE","FLEX. VARIANCE","CREDITS_AVAIL_FOR_SALE","AMA","IRRIGATION DISTRICT","BMP ENROLLEE","CONVEYANCE_DATE","ID"
"58-109711.0016","MARICOPA-STANFIELD","2013","38.36 AF","785.24 AF","2047.03%","22.84 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5026471"
"58-113535.0003","WEST SALT RIVER VALLEY","2011","260.45 AF","2480.89 AF","952.54%","99.88 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5038868"
"58-104564.0001","WEST SALT RIVER VALLEY","2006","54.14 AF","503.16 AF","929.37%","22.89 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5147260"
"58-100900.0002","ELOY","2007","173.27 AF","1112.58 AF","642.11%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5347104"
"58-100234.0005","ELOY","2011","33.21 AF","495.75 AF","1492.77%","28.68 AF","PINAL AMA","SAN CARLOS","N","","5325035"
"58-100234.0005","ELOY","2014","33.21 AF","582.22 AF","1753.15%","28.24 AF","PINAL AMA","SAN CARLOS","N","","5325035"
"58-107303.0001","MARICOPA-STANFIELD","2017","63.21 AF","1959.38 AF","3099.79%","63.21 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5498057"
"58-109460.0007","WEST SALT RIVER VALLEY","2012","248.98 AF","2798.24 AF","1123.88%","25.73 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5509823"
"58-102523.0011","EAST SALT RIVER VALLEY","2009","58.75 AF","573.16 AF","975.59%","33.98 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5618485"
"58-109250.0143","MARICOPA-STANFIELD","2011","1946.78 AF","52270.46 AF","2684.97%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5795555"
"58-109250.0143","MARICOPA-STANFIELD","2012","1946.78 AF","51136.66 AF","2626.73%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5795555"
"58-104197.0015","EAST SALT RIVER VALLEY","2014","88.11 AF",".85 AF",".96%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","6068897"
"58-101839.0011","ELOY","2013","0 AF","5925.52 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","6097807"
"58-102268.0003","ELOY","2013","1362.82 AF","10894.84 AF","799.43%","455.25 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6094189"
"58-111941.0008","MARICOPA-STANFIELD","2019","2285.37 AF","21344.55 AF","933.96%","277.17 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5001660"
"58-110632.0002","WEST SALT RIVER VALLEY","2022","237.92 AF","1202.84 AF","505.56%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","5158352"
"58-105130.0027","WEST SALT RIVER VALLEY","2020","566.85 AF","18576.23 AF","3277.1%","566.85 AF","PHOENIX AMA","","N","","5151161"
"58-100732.0021","ELOY","2024","52 AF","915.18 AF","1759.96%","NONE","PINAL AMA","SAN CARLOS","N","","5157954"
"58-100424.0001","ELOY","2025","544.04 AF","12013.21 AF","2208.15%","NONE","PINAL AMA","SAN CARLOS","N","","5118015"
"58-105182.0003","WEST SALT RIVER VALLEY","2020","135.49 AF","42.57 AF","31.42%","4.81 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5369340"
"58-100001.0003","EAST SALT RIVER VALLEY","2020","143.38 AF","796.19 AF","555.3%","NONE","PHOENIX AMA","SUN VALLEY FARMS CO-OP IV","N","","5376196"
"58-100001.0003","EAST SALT RIVER VALLEY","2025","143.38 AF","666.33 AF","464.73%","NONE","PHOENIX AMA","SUN VALLEY FARMS CO-OP IV","N","","5376196"
"58-105025.0010","WEST SALT RIVER VALLEY","2024","378.81 AF","67.49 AF","17.82%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5377779"
"58-101255.0006","WEST SALT RIVER VALLEY","2025","300.05 AF","4213.19 AF","1404.16%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5359024"
"58-150007.0001","MARICOPA-STANFIELD","2023","144.9 AF","813.89 AF","561.69%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5516086"
"58-111389.0003","EAST SALT RIVER VALLEY","2021","212.87 AF","3095.05 AF","1453.96%","210.44 AF","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","5505623"
"58-102523.0011","EAST SALT RIVER VALLEY","2018","0 AF","711.2 AF","0%","NONE","PHOENIX AMA","SALT RIVER PROJECT","Y","","5618485"
"58-102523.0011","EAST SALT RIVER VALLEY","2025","0 AF","711.2 AF","0%","NONE","PHOENIX AMA","SALT RIVER PROJECT","Y","","5618485"
"58-113181.0007","MARICOPA-STANFIELD","2018","463.72 AF","1729.65 AF","372.99%","463.72 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5614364"
"58-150094.0003","ELOY","2023","298.9 AF","3997.42 AF","1337.38%","175.3 AF","PINAL AMA","SAN CARLOS","N","","5788627"
"58-111290.0004","EAST SALT RIVER VALLEY","2024","250.86 AF","3730.96 AF","1487.27%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","5924262"
"58-104197.0015","EAST SALT RIVER VALLEY","2023","88.11 AF","595.01 AF","675.3%","85.6 AF","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","6068897"
"58-111644.0004","WEST SALT RIVER VALLEY","2021","46.77 AF","265.72 AF","568.14%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","6090603"
"58-150033.0005","ELOY","2018","633.65 AF","10375.94 AF","1637.49%","600.32 AF","PINAL AMA","SAN CARLOS","N","","6695886"
"58-150062.0004","ELOY","2025","0 AF","1979 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","6831734"
"58-104366.0001","WEST SALT RIVER VALLEY","2019","0 AF","4778.1 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","7084444"
"58-104366.0001","WEST SALT RIVER VALLEY","2020","0 AF","4778.1 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","7084444"
"58-106115.0001","WEST SALT RIVER VALLEY","2025","916.62 AF","-2796.66 AF","-305.11%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","7346290"
"58-104361.0018","MARICOPA-STANFIELD","2023","455.1 AF","12780.22 AF","2808.22%","455.1 AF","PINAL AMA","SAN CARLOS","N","","7491780"
"58-108796.0010","WEST SALT RIVER VALLEY","2023","8.84 AF","-39.88 AF","-451.13%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","7491921"
"58-102549.0003","HASSAYAMPA","2025","259.91 AF","-655.26 AF","-252.11%","NONE","PHOENIX AMA","ARLINGTON CANAL COMPANY","N","","7635484"
"58-106447.0006","WEST SALT RIVER VALLEY","2006","55.57 AF","468.73 AF","843.49%","6.9 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5016488"
"58-103174.0004","AGUIRRE VALLEY","2009","1249.72 AF","20646.57 AF","1652.1%","1249.72 AF","PINAL AMA","","N","","5038526"
"58-103654.0012","ELOY","2013","0 AF","44777.08 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5017120"
"58-111752.0003","ELOY","2013","0 AF","152.04 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5032856"
"58-103333.0027","ELOY","2008","16.59 AF","159.2 AF","959.61%","16.59 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5038008"
"58-101856.0006","ELOY","2016","1498.91 AF","5760.3 AF","384.3%","707.36 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5034899"
"58-106572.0001","ELOY","2007","357.36 AF","3884.15 AF","1086.9%","58.21 AF","PINAL AMA","SAN CARLOS","N","","5039490"
"58-101405.0003","ELOY","2009","117.98 AF","450.57 AF","381.9%","43.38 AF","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","N","","5039566"
"58-101041.0011","ELOY","2013","36.97 AF","517.76 AF","1400.49%","33.59 AF","PINAL AMA","SAN CARLOS","N","","5039747"
"58-150066.0003","MARICOPA-STANFIELD","2015","7862.57 AF","58586.63 AF","745.13%","3353.05 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5041459"
"58-104965.0002","ELOY","2008","32.49 AF","251.24 AF","773.28%","14.97 AF","PINAL AMA","","N","","5112893"
"58-107818.0009","ELOY","2009","0 AF","0 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5145105"
"58-100325.0006","ELOY","2011","243.75 AF","-29.65 AF","-12.16%","NONE","PINAL AMA","","N","","5150480"
"58-113467.0006","WEST SALT RIVER VALLEY","2007","16.99 AF","153.89 AF","905.77%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5151051"
"58-106374.0001","EAST SALT RIVER VALLEY","2009","73 AF","521.78 AF","714.77%","NONE","PHOENIX AMA","SUN VALLEY FARMS CO-OP IV","N","","5325127"
"58-105251.0002","WEST SALT RIVER VALLEY","2014","42.77 AF","743.54 AF","1738.46%","42.77 AF","PHOENIX AMA","","N","","5284810"
"58-104967.0001","AVRA VALLEY","2008","240.72 AF","1380.56 AF","573.51%","95.63 AF","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5139252"
"58-130203.0004","WEST SALT RIVER VALLEY","2007","82.64 AF","597.21 AF","722.66%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5139620"
"58-150074.0006","ELOY","2015","463.32 AF","6936.78 AF","1497.19%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5146747"
"58-101553.0024","MARICOPA-STANFIELD","2012","77.7 AF","1265.74 AF","1629.01%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5457137"
"58-101553.0027","MARICOPA-STANFIELD","2008","26.57 AF","516.65 AF","1944.49%","26.57 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5457251"
"58-111759.0006","ELOY","2015","0 AF","-20.37 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5496408"
"58-150016.0001","MARICOPA-STANFIELD","2011","72.45 AF","436.11 AF","601.95%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5516757"
"58-100234.0010","ELOY","2015","63.13 AF","454.69 AF","720.24%","52.15 AF","PINAL AMA","SAN CARLOS","N","","5374034"
"58-108018.0016","AVRA VALLEY","2011","81.28 AF","669.58 AF","823.79%","NONE","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5492467"
"58-150047.0017","MARICOPA-STANFIELD","2016","121.64 AF","2513.68 AF","2066.49%","24.06 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5648744"
"58-113539.0005","ELOY","2012","418.66 AF","4061.16 AF","970.04%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5656364"
"58-130661.0001","WEST SALT RIVER VALLEY","2015","113.1 AF","1461.46 AF","1292.18%","81.15 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5800971"
"58-130661.0001","WEST SALT RIVER VALLEY","2017","113.1 AF","1610.71 AF","1424.15%","76.74 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5800971"
"58-101839.0007","ELOY","2017","0 AF","1782.17 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5921662"
"58-103119.0005","WEST SALT RIVER VALLEY","2015","179.96 AF","2747.79 AF","1526.89%","129.57 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5928926"
"58-103179.0001","ELOY","2012","0 AF","-357.12 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","6078238"
"58-150079.0017","MARICOPA-STANFIELD","2012","330.96 AF","2960.3 AF","894.46%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6038520"
"58-105957.0003","UPPER SANTA CRUZ","2015","715.08 AF","17178.42 AF","2402.31%","626.99 AF","TUCSON AMA","","N","","6207785"
"58-111841.0002","ELOY","2021","115.06 AF","253.36 AF","220.2%","NONE","PINAL AMA","","N","","5022083"
"58-106383.0001","HASSAYAMPA","2024","524.05 AF","-1044.44 AF","-199.3%","NONE","PHOENIX AMA","ARLINGTON CANAL COMPANY","N","","5031640"
"58-106572.0001","ELOY","2018","357.36 AF","5011.1 AF","1402.26%","144.36 AF","PINAL AMA","SAN CARLOS","N","","5039490"
"58-150066.0003","MARICOPA-STANFIELD","2024","7862.57 AF","86156.95 AF","1095.79%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5041459"
"58-103780.0004","WEST SALT RIVER VALLEY","2020","78.1 AF","50.87 AF","65.13%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5144805"
"58-102821.0021","WEST SALT RIVER VALLEY","2021","72.94 AF","530.05 AF","726.69%","31.42 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5147068"
"58-101856.0007","ELOY","2025","150.25 AF","2155.53 AF","1434.63%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5324678"
"58-105251.0002","WEST SALT RIVER VALLEY","2020","42.77 AF","1000.16 AF","2338.46%","42.77 AF","PHOENIX AMA","","N","","5284810"
"58-105251.0002","WEST SALT RIVER VALLEY","2022","42.77 AF","1085.7 AF","2538.46%","42.77 AF","PHOENIX AMA","","N","","5284810"
"58-130439.0005","WEST SALT RIVER VALLEY","2022","25.52 AF","106.86 AF","418.73%","1.67 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5373083"
"58-105025.0007","WEST SALT RIVER VALLEY","2019","0 AF","1848.43 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","5377740"
"58-114557.0001","ELOY","2022","347.8 AF","9424.85 AF","2709.85%","236.76 AF","PINAL AMA","SAN CARLOS","N","","5499778"
"58-160008.0001","AVRA VALLEY","2025","255.78 AF","1607.42 AF","628.44%","NONE","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5519003"
"58-101110.0013","ELOY","2018","556.78 AF","3962.85 AF","711.74%","56.42 AF","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","N","","5893671"
"58-113070.0007","HASSAYAMPA","2024","0 AF","2770.67 AF","0%","NONE","PHOENIX AMA","TONOPAH IRRIGATION DISTRICT","Y","","6095152"
"58-104252.0002","WEST SALT RIVER VALLEY","2025","140.91 AF","1480.29 AF","1050.52%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","6044134"
"58-105351.0004","RAINBOW VALLEY","2022","499.68 AF","15114.87 AF","3024.91%","499.68 AF","PHOENIX AMA","","N","","6375397"
"58-108942.0005","AVRA VALLEY","2022","203.68 AF","1776.25 AF","872.08%","NONE","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","6699113"
"58-110588.0007","WEST SALT RIVER VALLEY","2022","145.28 AF","2118.94 AF","1458.52%","37.03 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","6668209"
"58-112636.0003","ELOY","2023","628.78 AF","9604.24 AF","1527.44%","613.11 AF","PINAL AMA","SAN CARLOS","N","","6681166"
"58-106422.0016","HASSAYAMPA","2025","158.97 AF","2301.93 AF","1448.03%","NONE","PHOENIX AMA","","N","","7228441"
"58-102261.0004","WEST SALT RIVER VALLEY","2024","607.62 AF","-6605.49 AF","-1087.11%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","7350117"
"58-101871.0012","WEST SALT RIVER VALLEY","2023","0 AF","0 AF","0%","NONE","PHOENIX AMA","","Y","","7351231"
"58-103643.0004","WEST SALT RIVER VALLEY","2023","186.33 AF","-10.15 AF","-5.45%","13.7 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","7372759"
"58-109711.0019","MARICOPA-STANFIELD","2014","42.83 AF","645.13 AF","1506.26%","16.18 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5026866"
"58-114619.0054","ELOY","2015","22.41 AF","625.01 AF","2788.98%","22.41 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5019419"
"58-106565.0001","AVRA VALLEY","2010","962.5 AF","24487.5 AF","2544.16%","962.5 AF","TUCSON AMA","","N","","5036798"
"58-101404.0012","ELOY","2012","431.27 AF","4204.45 AF","974.9%","241.95 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5029204"
"58-105224.0001","WEST SALT RIVER VALLEY","2015","39.97 AF","534.68 AF","1337.7%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5041664"
"58-102331.0008","ELOY","2008","3442.12 AF","14339.56 AF","416.59%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","N","","5032400"
"58-107818.0007","ELOY","2009","0 AF","3522.16 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5118121"
"58-107818.0007","ELOY","2015","0 AF","3522.16 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5118121"
"58-100518.0002","AVRA VALLEY","2009","305.97 AF","2728.92 AF","891.89%","166.21 AF","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5152226"
"58-130749.0004","WEST SALT RIVER VALLEY","2010","38.48 AF","556.24 AF","1445.53%","38.48 AF","PHOENIX AMA","","N","","5306238"
"58-130439.0007","WEST SALT RIVER VALLEY","2010","30.82 AF","279.49 AF","906.85%","3.33 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5373112"
"58-110736.0002","WEST SALT RIVER VALLEY","2010","729.57 AF","8512 AF","1166.71%","215.97 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5463964"
"58-100982.0003","EAST SALT RIVER VALLEY","2012","137.65 AF","1232.71 AF","895.54%","87.37 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5637711"
"58-112732.0001","SANTA CRUZ AMA","2016","269.34 AF","2619.56 AF","972.58%","269.34 AF","SANTA CRUZ AMA","","N","","5800368"
"58-112732.0001","SANTA CRUZ AMA","2017","269.34 AF","2888.9 AF","1072.58%","269.34 AF","SANTA CRUZ AMA","","N","","5800368"
"58-113773.0005","HASSAYAMPA","2011","210.38 AF",".35 AF",".17%","NONE","PHOENIX AMA","TONOPAH IRRIGATION DISTRICT","N","","5782740"
"58-103655.0046","MARICOPA-STANFIELD","2014","12.94 AF","166.14 AF","1283.93%","12.94 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5796665"
"58-100952.0009","WEST SALT RIVER VALLEY","2013","267.38 AF","-1447.85 AF","-541.5%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","5893309"
"58-101357.0014","MARICOPA-STANFIELD","2012","0 AF","766.67 AF","0%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","Y","","6088812"
"58-102989.0001","WEST SALT RIVER VALLEY","2015","18.83 AF","158.71 AF","842.86%","11.83 AF","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","6391339"
"58-114619.0093","ELOY","2017","538.32 AF","11604.07 AF","2155.61%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6700444"
"58-101814.0014","ELOY","2019","30.25 AF","602.47 AF","1991.64%","30.25 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5038118"
"58-102966.0013","LITTLE CHINO","2019","65.05 AF","1020.54 AF","1568.85%","16.62 AF","PRESCOTT AMA","CHINO VALLEY IRRIGATION DIST.","N","","5000370"
"58-102966.0013","LITTLE CHINO","2020","65.05 AF","1084.59 AF","1667.32%","64.05 AF","PRESCOTT AMA","CHINO VALLEY IRRIGATION DIST.","N","","5000370"
"58-113467.0004","WEST SALT RIVER VALLEY","2021","16.99 AF","168.87 AF","993.94%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5151021"
"58-102191.0006","ELOY","2021","293.76 AF","4575.65 AF","1557.62%","293.76 AF","PINAL AMA","","N","","5343018"
"58-130439.0007","WEST SALT RIVER VALLEY","2021","30.82 AF","98.26 AF","318.82%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5373112"
"58-100341.0004","WEST SALT RIVER VALLEY","2025","14.34 AF","126.07 AF","879.15%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5381152"
"58-150049.0003","ELOY","2020","184.76 AF","4047.91 AF","2190.9%","158.98 AF","PINAL AMA","SAN CARLOS","N","","5497022"
"58-130461.0007","WEST SALT RIVER VALLEY","2019","64.35 AF","1627.74 AF","2529.51%","64.35 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5505398"
"58-106870.0006","ELOY","2021","0 AF","2450.28 AF","0%","NONE","PINAL AMA","SAN CARLOS","Y","","5916291"
"58-103237.0001","AVRA VALLEY","2019","166.6 AF","2560.46 AF","1536.89%","70.58 AF","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5897849"
"58-103237.0001","AVRA VALLEY","2025","166.6 AF","2736.99 AF","1642.85%","NONE","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5897849"
"58-100952.0009","WEST SALT RIVER VALLEY","2018","267.38 AF","-1482.72 AF","-554.54%","215.26 AF","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","5893309"
"58-103178.0018","MARICOPA-STANFIELD","2024","1034.09 AF","7335.28 AF","709.35%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6107403"
"58-113396.0001","WEST SALT RIVER VALLEY","2020","282.41 AF","3278.86 AF","1161.03%","99.83 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","6041615"
"58-114619.0083","ELOY","2018","35.47 AF","880.21 AF","2481.56%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6255225"
"58-109250.0148","MARICOPA-STANFIELD","2021","13.68 AF","100.22 AF","732.6%",".39 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6270393"
"58-108081.0012","EAST SALT RIVER VALLEY","2023","0 AF","671.48 AF","0%","NONE","PHOENIX AMA","NEW MAGMA IRR & DRG DIST","Y","","6398897"
"58-111758.0032","ELOY","2018","20.28 AF","306.6 AF","1511.83%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6661194"
"58-106614.0005","ELOY","2025","793.57 AF","1979.68 AF","249.47%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6693026"
"58-130630.0006","WEST SALT RIVER VALLEY","2018","734.4 AF","5250.84 AF","714.98%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","6960706"
"58-111407.0002","WEST SALT RIVER VALLEY","2019","698.04 AF","1875.19 AF","268.64%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","7056442"
"58-100984.0003","EAST SALT RIVER VALLEY","2022","155.75 AF","3480.35 AF","2234.57%","133.45 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","7090907"
"58-112571.0003","ELOY","2022","1931.59 AF","34815.46 AF","1802.42%","1101.26 AF","PINAL AMA","SAN CARLOS","N","","7456080"
"58-114570.0010","EAST SALT RIVER VALLEY","2024","99.61 AF","121.63 AF","122.11%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","7224343"
"58-100482.0011","ELOY","2015","164.79 AF","2195.43 AF","1332.26%","14.58 AF","PINAL AMA","SAN CARLOS","N","","5668068"
"58-105490.0009","EAST SALT RIVER VALLEY","2011","19.64 AF","436.27 AF","2221.33%","NONE","PHOENIX AMA","NEW MAGMA IRR & DRG DIST","N","","5031456"
"58-111751.0002","ELOY","2011","560.56 AF","8350.95 AF","1489.75%","466.72 AF","PINAL AMA","SAN CARLOS","N","","4993638"
"58-111751.0002","ELOY","2014","560.56 AF","9816.52 AF","1751.2%","466.71 AF","PINAL AMA","SAN CARLOS","N","","4993638"
"58-105224.0002","WEST SALT RIVER VALLEY","2007","56.96 AF","702.67 AF","1233.62%","20.08 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5041678"
"58-105181.0003","WEST SALT RIVER VALLEY","2017","65.42 AF","463.91 AF","709.13%","23.29 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5017345"
"58-100320.0008","WEST SALT RIVER VALLEY","2008","198.93 AF","453.34 AF","227.89%","12.79 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5019368"
"58-114831.0004","WEST SALT RIVER VALLEY","2008","57.58 AF","347.96 AF","604.31%","NONE","PHOENIX AMA","PENINSULA DITCH CO","N","","5113068"
"58-114831.0004","WEST SALT RIVER VALLEY","2011","57.58 AF","346.5 AF","601.77%","NONE","PHOENIX AMA","PENINSULA DITCH CO","N","","5113068"
"58-112742.0013","ELOY","2015","80.56 AF","2179.61 AF","2705.57%","80.56 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5365468"
"58-105309.0005","EAST SALT RIVER VALLEY","2008","54.77 AF","170.69 AF","311.65%","31.83 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5375495"
"58-108190.0005","WEST SALT RIVER VALLEY","2012","70.59 AF","-15.51 AF","-21.97%","NONE","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","5378004"
"58-150019.0001","MARICOPA-STANFIELD","2008","154.7 AF","1257.5 AF","812.86%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5515843"
"58-150019.0001","MARICOPA-STANFIELD","2010","154.7 AF","1288.18 AF","832.7%","6.1 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5515843"
"58-102985.0031","WEST SALT RIVER VALLEY","2015","76.75 AF","419.57 AF","546.67%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5525985"
"58-102527.0002","ELOY","2008","2436.48 AF","11109.71 AF","455.97%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5458199"
"58-106310.0003","SANTA CRUZ AMA","2015","118.18 AF","3195.8 AF","2704.18%","118.18 AF","SANTA CRUZ AMA","","N","","5620817"
"58-101553.0038","MARICOPA-STANFIELD","2009","26.61 AF","543.28 AF","2041.64%","26.61 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5656244"
"58-111758.0028","ELOY","2013","22.77 AF","113.85 AF","500%","22.77 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5667752"
"58-100911.0004","WEST SALT RIVER VALLEY","2016","67.28 AF","141.89 AF","210.89%",".95 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5781933"
