"","County Name","Year","Population","Public.Supply","Domestic","Irrigation","Thermoelectric","Industrial","Mining","Livestock","Aquaculture"
"70","Navajo County",2015,108.277,"14.5","1.15","10.41","12","0.23","1.42","0.83","10.83"
"71","Pima County",1985,626.33,"101.77","1.05","90.2","1.17","2.46","31.31","-","-"
"72","Pima County",1990,666.88,"94.09","4.54","69.23","1.86","16.3","32.12","-","-"
"73","Pima County",1995,752.43,"103.16","2.92","84.6","1.17","16.29","36.5","-","-"
"74","Pima County",2000,843.75,"169.82","2.82","96.66","3.34","0","37.4","0.5","0"
"75","Pima County",2005,924.786,"159.13","2.37","115.48","2.62","0","31.42","0.33","0"
"76","Pima County",2010,980.263,"168.08","2.37","100.88","1.91","0","31.92","0.27","0"
"77","Pima County",2015,1010.025,"175.4","2.23","92.26","1.81","2.36","25.58","0.41","0"
"78","Pinal County",1985,102.05,"17.18","3.08","933.05","1.27","14.55","12.64","-","-"
"79","Pinal County",1990,116.38,"16.52","2.71","713.67","0.11","0.65","14.27","-","-"
"80","Pinal County",1995,131.21,"15.29","3.87","1122.83","0.31","0.65","22.04","-","-"
"81","Pinal County",2000,179.73,"34.45","2.71","1008.98","1.31","0.42","2.28","4.74","0"
"82","Pinal County",2005,229.549,"44.28","1.78","1240.62","1.38","0.53","2.19","8.9","0"
"83","Pinal County",2010,375.826,"62.31","1.78","1053.16","1.11","0.1","1.36","10.26","0"
"84","Pinal County",2015,406.584,"63.24","1.76","935.11","1.45","0.23","2.08","16.74","0"
"85","Santa Cruz County",1985,27.1,"3.41","0.09","6.58","0","0","0","-","-"
"86","Santa Cruz County",1990,29.68,"2.92","0.5","5.78","0.04","0","0","-","-"
"87","Santa Cruz County",1995,36.08,"3.49","0.55","11.5","0","0","0.37","-","-"
"88","Santa Cruz County",2000,38.38,"8.77","0.76","14.49","0","0","0.11","0.19","0"
"89","Santa Cruz County",2005,42.009,"7.5","0.78","12.33","0","0","0.11","0.13","0"
"90","Santa Cruz County",2010,47.42,"5.95","0.79","10.4","0","0","0.14","0.16","0"
"91","Santa Cruz County",2015,46.461,"5.17","0.6","6.97","0","0","0.25","0.23","0"
